time	radps
2,57304	14,22443
2,57620	14,15462
2,57963	13,94518
2,58306	13,64847
2,58609	14,39897
2,58949	13,52630
2,59299	14,74803
2,59622	13,64847
2,59923	14,25934
2,60222	14,22443
2,60533	14,15462
2,60850	14,20698
2,61138	14,45133
2,61430	14,01499
2,61728	14,55605
2,62068	14,29425
2,62409	14,34661
2,62750	14,52114
2,63057	14,15462
2,63359	14,29425
2,63663	14,34661
2,63982	14,10226
2,64315	14,64331
2,64623	14,20698
2,64943	14,10226
2,65281	14,55605
2,65617	14,17207
2,65954	14,90511
2,66260	13,84046
2,66560	14,78294
2,66854	14,13717
2,67170	14,92257
2,67477	14,01499
2,67776	15,09710
2,68087	13,82301
2,68402	15,13200
2,68733	14,39897
2,69047	14,55605
2,69353	14,60841
2,69652	14,29425
2,69962	14,34661
2,70272	14,80039
2,70574	14,46878
2,70886	14,73058
2,71181	14,74803
2,71479	14,34661
2,71797	14,90511
2,72140	14,90511
2,72454	14,64331
2,72755	14,83530
2,73066	14,67822
2,73382	14,66077
2,73692	15,28908
2,74000	14,27679
2,74338	15,55088
2,74647	14,15462
2,74964	15,13200
2,75277	14,78294
2,75604	14,90511
2,75918	15,18436
2,76217	14,59095
2,76537	15,16691
2,76882	14,85275
2,77186	15,23672
2,77499	15,21927
2,77828	15,23672
2,78168	14,90511
2,78470	15,55088
2,78777	14,85275
2,79077	15,77778
2,79386	14,83530
2,79701	14,99238
2,80017	15,18436
2,80321	14,78294
2,80635	15,74287
2,80974	14,87021
2,81306	15,37635
2,81634	14,99238
2,81948	15,30654
2,82248	15,48107
2,82561	15,23672
2,82877	15,28908
2,83223	15,48107
2,83531	15,56834
2,83865	15,25418
2,84194	15,41126
2,84539	15,28908
2,84871	15,55088
2,85186	15,35890
2,85485	15,44616
2,85795	15,42871
2,86120	15,37635
2,86423	15,81268
2,86728	15,11455
2,87065	15,89995
2,87402	14,87021
2,87746	15,88250
2,88068	15,89995
2,88370	15,30654
2,88669	16,07448
2,88980	14,87021
2,89301	16,26647
2,89651	15,44616
2,89986	15,69051
2,90295	15,77778
2,90629	15,09710
2,90982	16,16175
2,91298	15,28908
2,91611	16,05703
2,91908	15,56834
2,92218	15,48107
2,92538	16,12684
2,92878	15,48107
2,93192	16,44100
2,93530	15,30654
2,93868	15,96976
2,94194	16,12684
2,94529	15,67306
2,94831	16,35374
2,95132	15,51598
2,95438	16,21411
2,95766	16,05703
2,96104	16,16175
2,96440	16,26647
2,96750	15,89995
2,97095	16,21411
2,97413	16,16175
2,97748	16,47591
2,98045	15,89995
2,98353	16,21411
2,98665	16,24902
2,98983	16,26647
2,99337	16,51081
2,99690	16,09194
2,99999	16,21411
3,00330	16,02212
3,00652	16,79007
3,00966	15,81268
3,01268	16,59808
3,01577	16,40609
3,01890	16,28392
3,02195	16,77261
3,02503	16,00467
3,02820	16,79007
3,03127	16,33628
3,03465	16,45845
3,03800	16,58063
3,04101	16,12684
3,04405	16,91224
3,04714	15,93486
3,05022	16,91224
3,05349	16,09194
3,05652	16,65044
3,05962	16,73771
3,06271	16,24902
3,06582	17,08677
3,06937	16,00467
3,07254	16,98205
3,07558	16,70280
3,07866	16,52827
3,08170	16,72025
3,08519	16,38864
3,08821	17,03441
3,09137	16,47591
3,09473	16,77261
3,09803	16,35374
3,10124	16,96460
3,10420	16,45845
3,10730	16,91224
3,11037	16,77261
3,11353	16,51081
3,11681	17,08677
3,12015	16,63299
3,12343	17,31367
3,12664	16,40609
3,12972	16,96460
3,13284	17,15659
3,13587	16,70280
3,13895	17,10423
3,14211	16,44100
3,14533	17,08677
3,14832	16,96460
3,15189	17,15659
3,15498	16,63299
3,15826	17,22640
3,16143	16,96460
3,16501	17,48820
3,16813	17,12168
3,17112	17,10423
3,17425	17,50565
3,17744	16,92969
3,18106	17,88962
3,18425	16,72025
3,18735	17,29621
3,19087	16,92969
3,19389	17,69764
3,19744	16,58063
3,20049	17,69764
3,20352	17,41839
3,20662	17,34857
3,20971	17,61037
3,21274	17,10423
3,21588	17,85472
3,21928	17,20895
3,22233	17,75000
3,22548	17,08677
3,22923	17,69764
3,23241	17,22640
3,23543	17,88962
3,23852	17,10423
3,24167	17,62783
3,24545	17,62783
3,24855	17,36603
3,25206	17,29621
